rodada,apelido,atleta_id,posicao_id,clube_id,entrou_em_campo,pontuacao,CA,DS,FC,FS,PI,FD,I,FF,FT,SG,A,DE,GS,G,DP,PC,PP,CV,PS,GC,clube_nome,posicao_nome,posicao_abreviacao
12,Weverton,71631,1,275,True,6.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Palmeiras,Goleiro,gol
12,Gustavo Gómez,71684,3,275,True,5.9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Palmeiras,Zagueiro,zag
12,Elton,71719,4,286,True,0.6,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventude,Meia,mei
12,Thiago Galhardo,71844,5,285,True,10.9,0,2,2,2,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,Internacional,Atacante,ata
12,Juninho Valoura,71937,4,327,True,4.2,0,2,3,6,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,Meia,mei
12,Uillian Correia,72007,4,1371,True,3.1,0,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
12,Tiago Volpi,72018,1,276,True,2.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,São Paulo,Goleiro,gol
12,Bruno Cortez,72079,2,284,True,4.8,0,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Grêmio,Lateral,lat
12,Everson,72294,1,282,True,1.0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,Atlético-MG,Goleiro,gol
12,Rodrigo Lindoso,72362,4,285,True,1.7,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,Meia,mei
12,Mike,72389,5,315,True,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,Atacante,ata
12,Fernando Diniz,72391,6,277,True,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,Técnico,tec
12,Matheus Cavichioli,72580,1,327,True,3.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,América-MG,Goleiro,gol
12,Luccas Claro,73465,3,266,True,3.4,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fluminense,Zagueiro,zag
12,Bruno Alves,73620,3,276,True,0.4,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,Zagueiro,zag
12,Diego Aguirre,73766,6,285,True,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,Técnico,tec
12,Geuvânio,73896,5,315,True,6.1,1,1,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Chapecoense,Atacante,ata
12,Dado Cavalcanti,73975,6,265,True,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,Técnico,tec
12,Rodinei,73992,2,262,True,4.8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Flamengo,Lateral,lat
12,Abel Hernández,74159,5,266,True,-0.1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,Atacante,ata
12,Auremir,77570,4,1371,True,4.8,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Meia,mei
12,Eduardo Barroca,77774,6,373,True,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Técnico,tec
12,Madson,78077,2,277,True,4.3,0,1,0,1,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Santos,Lateral,lat
12,Gustavo Henrique,78248,3,262,True,4.7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Flamengo,Zagueiro,zag
12,Vitinho,78435,5,262,True,13.5,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Flamengo,Atacante,ata
12,Renê,78445,2,262,True,6.9,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Flamengo,Lateral,lat
12,Willian Arão,78478,3,262,True,6.9,0,1,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Flamengo,Zagueiro,zag
12,Arnaldo,78497,2,373,True,-1.6,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-GO,Lateral,lat
12,Jonathan Cafu,78580,5,1371,True,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,Atacante,ata
12,Gabriel,78605,4,264,True,2.8,0,3,3,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,Meia,mei
